  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 8.25000E+02  vis= 2.10000E-01  sp_ht= 2.00000E+03
     prc(je)= 5000.000
  initial profiles: kstart=  2  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0002E+03    Prandtl number= 5000.000
   U,mean = 5.0920E+00            d,h = 5.0000E-02
   viscom = 2.1000E-01            rhom  = 8.2500E+02

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 1.199E-02 1.199E-02  8.239E+00 -8.239E+00
               y(i)           u(i)         f(1,i)         f(2,i)         f(3,i)
   40 1.000E-01 2.402E-02 1.199E-02 1.199E-02  8.239E+00 -8.493E+00
               y(i)           u(i)         f(1,i)         f(2,i)         f(3,i)
       0.000000E+00   0.000000E+00   3.007224E+02   0.000000E+00   0.000000E+00
       4.827892E-06   5.898236E-03   3.007218E+02   0.000000E+00   0.000000E+00
       1.321558E-05   1.613755E-02   3.007208E+02   0.000000E+00   0.000000E+00
       2.065547E-05   2.521467E-02   3.007199E+02   0.000000E+00   0.000000E+00
       2.876486E-05   3.510246E-02   3.007190E+02   0.000000E+00   0.000000E+00
       3.760405E-05   4.587278E-02   3.007179E+02   0.000000E+00   0.000000E+00
       4.723874E-05   5.760373E-02   3.007168E+02   0.000000E+00   0.000000E+00
       5.774054E-05   7.038012E-02   3.007155E+02   0.000000E+00   0.000000E+00
       6.918748E-05   8.429411E-02   3.007141E+02   0.000000E+00   0.000000E+00
       8.166465E-05   9.944579E-02   3.007127E+02   0.000000E+00   0.000000E+00
       9.526474E-05   1.159438E-01   3.007110E+02   0.000000E+00   0.000000E+00
       1.100888E-04   1.339061E-01   3.007093E+02   0.000000E+00   0.000000E+00
       1.262471E-04   1.534605E-01   3.007074E+02   0.000000E+00   0.000000E+00
       1.438596E-04   1.747458E-01   3.007053E+02   0.000000E+00   0.000000E+00
       1.630571E-04   1.979122E-01   3.007030E+02   0.000000E+00   0.000000E+00
       1.839825E-04   2.231226E-01   3.007005E+02   0.000000E+00   0.000000E+00
       2.067911E-04   2.505533E-01   3.006978E+02   0.000000E+00   0.000000E+00
       2.316525E-04   2.803948E-01   3.006948E+02   0.000000E+00   0.000000E+00
       2.587513E-04   3.128534E-01   3.006916E+02   0.000000E+00   0.000000E+00
       2.882891E-04   3.481515E-01   3.006881E+02   0.000000E+00   0.000000E+00
       3.204852E-04   3.865293E-01   3.006843E+02   0.000000E+00   0.000000E+00
       3.555789E-04   4.282458E-01   3.006801E+02   0.000000E+00   0.000000E+00
       3.938310E-04   4.735797E-01   3.006755E+02   0.000000E+00   0.000000E+00
       4.355258E-04   5.228309E-01   3.006706E+02   0.000000E+00   0.000000E+00
       4.809730E-04   5.763212E-01   3.006652E+02   0.000000E+00   0.000000E+00
       5.305104E-04   6.343957E-01   3.006593E+02   0.000000E+00   0.000000E+00
       5.845062E-04   6.974237E-01   3.006529E+02   0.000000E+00   0.000000E+00
       6.433615E-04   7.657998E-01   3.006459E+02   0.000000E+00   0.000000E+00
       7.075138E-04   8.399441E-01   3.006383E+02   0.000000E+00   0.000000E+00
       7.774397E-04   9.203033E-01   3.006301E+02   0.000000E+00   0.000000E+00
       8.536588E-04   1.007350E+00   3.006210E+02   0.000000E+00   0.000000E+00
       9.367376E-04   1.101585E+00   3.006112E+02   0.000000E+00   0.000000E+00
       1.027293E-03   1.203533E+00   3.006006E+02   0.000000E+00   0.000000E+00
       1.125999E-03   1.313743E+00   3.005889E+02   0.000000E+00   0.000000E+00
       1.233588E-03   1.432788E+00   3.005763E+02   0.000000E+00   0.000000E+00
       1.350860E-03   1.561258E+00   3.005626E+02   0.000000E+00   0.000000E+00
       1.478687E-03   1.699760E+00   3.005476E+02   0.000000E+00   0.000000E+00
       1.618017E-03   1.848908E+00   3.005314E+02   0.000000E+00   0.000000E+00
       1.769887E-03   2.009318E+00   3.005138E+02   0.000000E+00   0.000000E+00
       1.935426E-03   2.181598E+00   3.004948E+02   0.000000E+00   0.000000E+00
       2.115862E-03   2.366332E+00   3.004741E+02   0.000000E+00   0.000000E+00
       2.312538E-03   2.564068E+00   3.004517E+02   0.000000E+00   0.000000E+00
       2.526914E-03   2.775293E+00   3.004276E+02   0.000000E+00   0.000000E+00
       2.760583E-03   3.000412E+00   3.004015E+02   0.000000E+00   0.000000E+00
       3.015283E-03   3.239713E+00   3.003734E+02   0.000000E+00   0.000000E+00
       3.292905E-03   3.493328E+00   3.003433E+02   0.000000E+00   0.000000E+00
       3.595513E-03   3.761187E+00   3.003110E+02   0.000000E+00   0.000000E+00
       3.925356E-03   4.042957E+00   3.002766E+02   0.000000E+00   0.000000E+00
       4.284884E-03   4.337974E+00   3.002400E+02   0.000000E+00   0.000000E+00
       4.676770E-03   4.645152E+00   3.002012E+02   0.000000E+00   0.000000E+00
       5.103925E-03   4.962878E+00   3.001606E+02   0.000000E+00   0.000000E+00
       5.569523E-03   5.288889E+00   3.001182E+02   0.000000E+00   0.000000E+00
       6.077024E-03   5.620124E+00   3.000744E+02   0.000000E+00   0.000000E+00
       6.630194E-03   5.952560E+00   3.000298E+02   0.000000E+00   0.000000E+00
       7.225389E-03   6.276814E+00   2.999856E+02   0.000000E+00   0.000000E+00
       7.844586E-03   6.577254E+00   2.999440E+02   0.000000E+00   0.000000E+00
       8.469579E-03   6.842495E+00   2.999068E+02   0.000000E+00   0.000000E+00
       9.094576E-03   7.069614E+00   2.998746E+02   0.000000E+00   0.000000E+00
       9.719573E-03   7.258575E+00   2.998476E+02   0.000000E+00   0.000000E+00
       1.034457E-02   7.409436E+00   2.998259E+02   0.000000E+00   0.000000E+00
       1.096953E-02   7.522519E+00   2.998095E+02   0.000000E+00   0.000000E+00
       1.155140E-02   7.593335E+00   2.997993E+02   0.000000E+00   0.000000E+00
       1.204725E-02   7.627838E+00   2.997937E+02   0.000000E+00   0.000000E+00
       1.250000E-02   7.638057E+00   2.997928E+02   0.000000E+00   0.000000E+00
       1.295275E-02   7.627838E+00   2.997937E+02   0.000000E+00   0.000000E+00
       1.344860E-02   7.593335E+00   2.997993E+02   0.000000E+00   0.000000E+00
       1.403047E-02   7.522519E+00   2.998095E+02   0.000000E+00   0.000000E+00
       1.465543E-02   7.409436E+00   2.998259E+02   0.000000E+00   0.000000E+00
       1.528043E-02   7.258575E+00   2.998476E+02   0.000000E+00   0.000000E+00
       1.590542E-02   7.069614E+00   2.998746E+02   0.000000E+00   0.000000E+00
       1.653042E-02   6.842495E+00   2.999068E+02   0.000000E+00   0.000000E+00
       1.715541E-02   6.577254E+00   2.999440E+02   0.000000E+00   0.000000E+00
       1.777461E-02   6.276814E+00   2.999856E+02   0.000000E+00   0.000000E+00
