  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.17700E+00  vis= 1.83800E-05  sp_ht= 1.00500E+03
     prc(je)=     .707
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 2.100E+01 1.050E-02 2.590E+00 2.588E+01  9.316E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    22 3.025E-06 6.601E-02 1.326E-02 4.401E-03 3.895E-03  0.000E+00
    23 3.350E-06 7.311E-02 1.469E-02 4.874E-03 4.314E-03  0.000E+00
    24 3.705E-06 8.085E-02 1.624E-02 5.390E-03 4.771E-03  0.000E+00
    25 4.092E-06 8.929E-02 1.793E-02 5.953E-03 5.268E-03  0.000E+00
    26 4.513E-06 9.849E-02 1.978E-02 6.566E-03 5.811E-03  0.000E+00
    27 4.973E-06 1.085E-01 2.180E-02 7.234E-03 6.403E-03  0.000E+00
    28 5.473E-06 1.194E-01 2.399E-02 7.963E-03 7.047E-03  0.000E+00
    29 6.019E-06 1.313E-01 2.638E-02 8.757E-03 7.750E-03  0.000E+00
    30 6.614E-06 1.443E-01 2.899E-02 9.622E-03 8.516E-03  0.000E+00
    31 7.262E-06 1.585E-01 3.183E-02 1.057E-02 9.351E-03  0.000E+00
    32 7.969E-06 1.739E-01 3.493E-02 1.159E-02 1.026E-02  0.000E+00
    33 8.740E-06 1.907E-01 3.831E-02 1.271E-02 1.125E-02  0.000E+00
    34 9.579E-06 2.090E-01 4.199E-02 1.394E-02 1.233E-02  0.000E+00
    35 1.049E-05 2.290E-01 4.600E-02 1.527E-02 1.351E-02  0.000E+00
    36 1.149E-05 2.508E-01 5.037E-02 1.672E-02 1.480E-02  0.000E+00
    37 1.258E-05 2.745E-01 5.514E-02 1.830E-02 1.620E-02  0.000E+00
    38 1.377E-05 3.004E-01 6.033E-02 2.003E-02 1.772E-02  0.000E+00
    39 1.506E-05 3.286E-01 6.600E-02 2.191E-02 1.939E-02  0.000E+00
    40 1.647E-05 3.593E-01 7.217E-02 2.395E-02 2.120E-02  0.000E+00
    41 1.800E-05 3.928E-01 7.890E-02 2.619E-02 2.318E-02  0.000E+00
    42 1.967E-05 4.293E-01 8.623E-02 2.862E-02 2.533E-02  0.000E+00
    43 2.150E-05 4.691E-01 9.423E-02 3.127E-02 2.768E-02  0.000E+00
    44 2.349E-05 5.125E-01 1.029E-01 3.417E-02 3.024E-02  0.000E+00
    45 2.565E-05 5.598E-01 1.124E-01 3.732E-02 3.303E-02  0.000E+00
    46 2.801E-05 6.113E-01 1.228E-01 4.076E-02 3.607E-02  0.000E+00
    47 3.059E-05 6.675E-01 1.341E-01 4.450E-02 3.938E-02  0.000E+00
    48 3.340E-05 7.287E-01 1.464E-01 4.858E-02 4.300E-02  0.000E+00
