  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 6.00000E-01  vis= 1.30000E-05  sp_ht= 2.00300E+03
     prc(je)=    1.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 1.783E+01 1.237E-02 2.590E+00 1.784E+01  1.237E-02

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    77 7.399E-05 9.074E+00 1.908E+00 6.049E-01 6.049E-01  0.000E+00
    78 8.052E-05 9.748E+00 2.076E+00 6.499E-01 6.499E-01  0.000E+00
    79 8.718E-05 1.040E+01 2.248E+00 6.932E-01 6.932E-01  0.000E+00
    80 9.385E-05 1.100E+01 2.420E+00 7.336E-01 7.335E-01  0.000E+00
    81 1.005E-04 1.156E+01 2.592E+00 7.708E-01 7.708E-01  0.000E+00
    82 1.072E-04 1.207E+01 2.764E+00 8.048E-01 8.048E-01  0.000E+00
    83 1.138E-04 1.253E+01 2.936E+00 8.355E-01 8.355E-01  0.000E+00
    84 1.205E-04 1.294E+01 3.108E+00 8.628E-01 8.628E-01  0.000E+00
    85 1.272E-04 1.330E+01 3.280E+00 8.868E-01 8.868E-01  0.000E+00
    86 1.339E-04 1.362E+01 3.452E+00 9.077E-01 9.077E-01  0.000E+00
    87 1.405E-04 1.388E+01 3.624E+00 9.256E-01 9.256E-01  0.000E+00
    88 1.472E-04 1.411E+01 3.796E+00 9.408E-01 9.407E-01  0.000E+00
    89 1.539E-04 1.430E+01 3.968E+00 9.534E-01 9.534E-01  0.000E+00
    90 1.605E-04 1.446E+01 4.140E+00 9.638E-01 9.638E-01  0.000E+00
    91 1.672E-04 1.458E+01 4.311E+00 9.722E-01 9.722E-01  0.000E+00
    92 1.739E-04 1.468E+01 4.483E+00 9.789E-01 9.789E-01  0.000E+00
    93 1.805E-04 1.476E+01 4.655E+00 9.843E-01 9.842E-01  0.000E+00
    94 1.872E-04 1.483E+01 4.827E+00 9.884E-01 9.884E-01  0.000E+00
    95 1.939E-04 1.487E+01 4.999E+00 9.915E-01 9.915E-01  0.000E+00
    96 2.005E-04 1.491E+01 5.171E+00 9.939E-01 9.939E-01  0.000E+00
