   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  4180.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 1.7297188E-01 3.2414647E+06 1.1958E+03 1.844E-04 4.151E+02 6.408E-05 1.039E+03
 1.7534003E-01 3.2858436E+06 1.2040E+03 1.832E-04 4.179E+02 6.364E-05 1.046E+03
 1.7772429E-01 3.3305242E+06 1.2121E+03 1.820E-04 4.208E+02 6.321E-05 1.053E+03
 1.8012465E-01 3.3755066E+06 1.2203E+03 1.807E-04 4.236E+02 6.279E-05 1.060E+03
 1.8254111E-01 3.4207907E+06 1.2285E+03 1.795E-04 4.264E+02 6.237E-05 1.067E+03
 1.8497368E-01 3.4663765E+06 1.2366E+03 1.784E-04 4.293E+02 6.196E-05 1.074E+03
 1.8742234E-01 3.5122641E+06 1.2448E+03 1.772E-04 4.321E+02 6.156E-05 1.081E+03
 1.8988711E-01 3.5584534E+06 1.2529E+03 1.760E-04 4.349E+02 6.116E-05 1.088E+03
 1.9236797E-01 3.6049445E+06 1.2611E+03 1.749E-04 4.378E+02 6.076E-05 1.095E+03
 1.9486494E-01 3.6517373E+06 1.2693E+03 1.738E-04 4.406E+02 6.037E-05 1.102E+03
 1.9737801E-01 3.6988318E+06 1.2774E+03 1.727E-04 4.434E+02 5.998E-05 1.109E+03
 1.9990718E-01 3.7462280E+06 1.2856E+03 1.716E-04 4.463E+02 5.960E-05 1.116E+03
 2.0000000E-01 3.7479674E+06 1.2859E+03 1.715E-04 4.464E+02 5.959E-05 1.117E+03
