  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 9.95710E+02  vis= 7.97000E-04  sp_ht= 4.18000E+03
     prc(je)=    5.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 9.277E+01 2.377E-03 2.590E+00 3.151E+01  4.144E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    23 6.933E-07 6.685E-02 1.342E-02 4.457E-03 7.745E-03  0.000E+00
    24 7.667E-07 7.393E-02 1.484E-02 4.928E-03 8.565E-03  0.000E+00
    25 8.467E-07 8.164E-02 1.639E-02 5.443E-03 9.459E-03  0.000E+00
    26 9.339E-07 9.005E-02 1.808E-02 6.003E-03 1.043E-02  0.000E+00
    27 1.029E-06 9.921E-02 1.992E-02 6.614E-03 1.149E-02  0.000E+00
    28 1.133E-06 1.092E-01 2.193E-02 7.280E-03 1.265E-02  0.000E+00
    29 1.245E-06 1.201E-01 2.411E-02 8.006E-03 1.391E-02  0.000E+00
    30 1.369E-06 1.320E-01 2.649E-02 8.797E-03 1.529E-02  0.000E+00
    31 1.503E-06 1.449E-01 2.909E-02 9.660E-03 1.679E-02  0.000E+00
    32 1.649E-06 1.590E-01 3.192E-02 1.060E-02 1.842E-02  0.000E+00
    33 1.808E-06 1.744E-01 3.501E-02 1.162E-02 2.020E-02  0.000E+00
    34 1.982E-06 1.911E-01 3.837E-02 1.274E-02 2.214E-02  0.000E+00
    35 2.172E-06 2.094E-01 4.204E-02 1.396E-02 2.426E-02  0.000E+00
    36 2.378E-06 2.293E-01 4.604E-02 1.529E-02 2.657E-02  0.000E+00
    37 2.603E-06 2.510E-01 5.039E-02 1.673E-02 2.908E-02  0.000E+00
    38 2.848E-06 2.746E-01 5.514E-02 1.831E-02 3.182E-02  0.000E+00
    39 3.116E-06 3.004E-01 6.032E-02 2.003E-02 3.481E-02  0.000E+00
    40 3.407E-06 3.285E-01 6.596E-02 2.190E-02 3.806E-02  0.000E+00
