   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    1.8012465E-01 4.817E-04 1.500E+01 6.512E-05 2.590E+00 2.260E-05
    1.8254111E-01 4.849E-04 1.500E+01 6.555E-05 2.590E+00 2.275E-05
    1.8497368E-01 4.882E-04 1.500E+01 6.599E-05 2.590E+00 2.291E-05
    1.8742234E-01 4.914E-04 1.500E+01 6.642E-05 2.590E+00 2.306E-05
    1.8988711E-01 4.946E-04 1.500E+01 6.686E-05 2.590E+00 2.321E-05
    1.9236797E-01 4.978E-04 1.500E+01 6.729E-05 2.590E+00 2.336E-05
    1.9486494E-01 5.010E-04 1.500E+01 6.773E-05 2.590E+00 2.351E-05
    1.9737801E-01 5.043E-04 1.500E+01 6.817E-05 2.590E+00 2.366E-05
    1.9990718E-01 5.075E-04 1.500E+01 6.860E-05 2.590E+00 2.381E-05
    2.0000000E-01 5.076E-04 1.500E+01 6.862E-05 2.590E+00 2.382E-05
