   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  2140.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
       10600  3.5471177E-02  2.8253E+04  1.5000E+01  1.1219E-03
       10650  3.5671881E-02  2.8241E+04  1.5000E+01  1.1214E-03
       10700  3.5873251E-02  2.8229E+04  1.5000E+01  1.1210E-03
       10750  3.6075289E-02  2.8217E+04  1.5000E+01  1.1205E-03
       10800  3.6277995E-02  2.8205E+04  1.5000E+01  1.1200E-03
       10850  3.6481372E-02  2.8192E+04  1.5000E+01  1.1195E-03
       10900  3.6685421E-02  2.8180E+04  1.5000E+01  1.1190E-03
       10950  3.6890144E-02  2.8168E+04  1.5000E+01  1.1186E-03
       11000  3.7095543E-02  2.8156E+04  1.5000E+01  1.1181E-03
       11050  3.7301619E-02  2.8144E+04  1.5000E+01  1.1176E-03
       11100  3.7508375E-02  2.8132E+04  1.5000E+01  1.1171E-03
       11150  3.7715812E-02  2.8120E+04  1.5000E+01  1.1166E-03
       11200  3.7923931E-02  2.8108E+04  1.5000E+01  1.1162E-03
       11250  3.8132735E-02  2.8095E+04  1.5000E+01  1.1157E-03
       11300  3.8342225E-02  2.8083E+04  1.5000E+01  1.1152E-03
       11350  3.8552403E-02  2.8071E+04  1.5000E+01  1.1147E-03
       11400  3.8763271E-02  2.8059E+04  1.5000E+01  1.1142E-03
       11450  3.8974830E-02  2.8047E+04  1.5000E+01  1.1137E-03
       11500  3.9187082E-02  2.8034E+04  1.5000E+01  1.1132E-03
       11550  3.9400029E-02  2.8022E+04  1.5000E+01  1.1128E-03
       11600  3.9613672E-02  2.8010E+04  1.5000E+01  1.1123E-03
       11650  3.9828014E-02  2.7998E+04  1.5000E+01  1.1118E-03
       11700  4.0043057E-02  2.7985E+04  1.5000E+01  1.1113E-03
       11750  4.0258801E-02  2.7973E+04  1.5000E+01  1.1108E-03
       11800  4.0475249E-02  2.7961E+04  1.5000E+01  1.1103E-03
       11850  4.0692402E-02  2.7949E+04  1.5000E+01  1.1098E-03
       11900  4.0910263E-02  2.7936E+04  1.5000E+01  1.1094E-03
       11950  4.1128832E-02  2.7924E+04  1.5000E+01  1.1089E-03
       12000  4.1348112E-02  2.7912E+04  1.5000E+01  1.1084E-03
       12050  4.1568105E-02  2.7900E+04  1.5000E+01  1.1079E-03
       12100  4.1788813E-02  2.7887E+04  1.5000E+01  1.1074E-03
       12150  4.2010236E-02  2.7875E+04  1.5000E+01  1.1069E-03
       12200  4.2232377E-02  2.7863E+04  1.5000E+01  1.1064E-03
       12250  4.2455238E-02  2.7851E+04  1.5000E+01  1.1060E-03
       12300  4.2678820E-02  2.7838E+04  1.5000E+01  1.1055E-03
       12350  4.2903126E-02  2.7826E+04  1.5000E+01  1.1050E-03
       12400  4.3128156E-02  2.7814E+04  1.5000E+01  1.1045E-03
       12450  4.3353914E-02  2.7801E+04  1.5000E+01  1.1040E-03
       12500  4.3580400E-02  2.7789E+04  1.5000E+01  1.1035E-03
       12550  4.3807616E-02  2.7777E+04  1.5000E+01  1.1030E-03
       12600  4.4035565E-02  2.7765E+04  1.5000E+01  1.1025E-03
       12650  4.4264248E-02  2.7752E+04  1.5000E+01  1.1021E-03
       12700  4.4493667E-02  2.7740E+04  1.5000E+01  1.1016E-03
       12750  4.4723823E-02  2.7728E+04  1.5000E+01  1.1011E-03
       12800  4.4954719E-02  2.7715E+04  1.5000E+01  1.1006E-03
       12850  4.5186356E-02  2.7703E+04  1.5000E+01  1.1001E-03
       12900  4.5418737E-02  2.7691E+04  1.5000E+01  1.0996E-03
       12950  4.5651862E-02  2.7679E+04  1.5000E+01  1.0991E-03
       13000  4.5885734E-02  2.7666E+04  1.5000E+01  1.0986E-03
       13050  4.6120355E-02  2.7654E+04  1.5000E+01  1.0981E-03
       13100  4.6355726E-02  2.7642E+04  1.5000E+01  1.0977E-03
       13150  4.6591850E-02  2.7629E+04  1.5000E+01  1.0972E-03
       13200  4.6828727E-02  2.7617E+04  1.5000E+01  1.0967E-03
       13250  4.7066361E-02  2.7605E+04  1.5000E+01  1.0962E-03
       13300  4.7304752E-02  2.7592E+04  1.5000E+01  1.0957E-03
       13350  4.7543903E-02  2.7580E+04  1.5000E+01  1.0952E-03
       13400  4.7783816E-02  2.7568E+04  1.5000E+01  1.0947E-03
       13450  4.8024492E-02  2.7556E+04  1.5000E+01  1.0942E-03
       13500  4.8265933E-02  2.7543E+04  1.5000E+01  1.0937E-03
       13550  4.8508142E-02  2.7531E+04  1.5000E+01  1.0933E-03
       13600  4.8751119E-02  2.7519E+04  1.5000E+01  1.0928E-03
       13650  4.8994867E-02  2.7506E+04  1.5000E+01  1.0923E-03
       13700  4.9239388E-02  2.7494E+04  1.5000E+01  1.0918E-03
       13750  4.9484683E-02  2.7482E+04  1.5000E+01  1.0913E-03
       13800  4.9730755E-02  2.7469E+04  1.5000E+01  1.0908E-03
       13850  4.9977604E-02  2.7457E+04  1.5000E+01  1.0903E-03
       13900  5.0225235E-02  2.7445E+04  1.5000E+01  1.0898E-03
       13950  5.0473647E-02  2.7433E+04  1.5000E+01  1.0894E-03
       14000  5.0722843E-02  2.7420E+04  1.5000E+01  1.0889E-03
       14050  5.0972825E-02  2.7408E+04  1.5000E+01  1.0884E-03
       14100  5.1223595E-02  2.7396E+04  1.5000E+01  1.0879E-03
       14150  5.1475154E-02  2.7383E+04  1.5000E+01  1.0874E-03
       14200  5.1727505E-02  2.7371E+04  1.5000E+01  1.0869E-03
       14250  5.1980649E-02  2.7359E+04  1.5000E+01  1.0864E-03
       14300  5.2234588E-02  2.7346E+04  1.5000E+01  1.0859E-03
       14350  5.2489325E-02  2.7334E+04  1.5000E+01  1.0854E-03
       14400  5.2744861E-02  2.7322E+04  1.5000E+01  1.0850E-03
       14450  5.3001198E-02  2.7310E+04  1.5000E+01  1.0845E-03
       14500  5.3258338E-02  2.7297E+04  1.5000E+01  1.0840E-03
       14550  5.3516282E-02  2.7285E+04  1.5000E+01  1.0835E-03
       14600  5.3775034E-02  2.7273E+04  1.5000E+01  1.0830E-03
       14650  5.4034594E-02  2.7260E+04  1.5000E+01  1.0825E-03
       14700  5.4294964E-02  2.7248E+04  1.5000E+01  1.0820E-03
       14750  5.4556148E-02  2.7236E+04  1.5000E+01  1.0815E-03
       14800  5.4818146E-02  2.7224E+04  1.5000E+01  1.0811E-03
       14850  5.5080960E-02  2.7211E+04  1.5000E+01  1.0806E-03
       14900  5.5344592E-02  2.7199E+04  1.5000E+01  1.0801E-03
       14950  5.5609045E-02  2.7187E+04  1.5000E+01  1.0796E-03
       15000  5.5874320E-02  2.7175E+04  1.5000E+01  1.0791E-03
       15050  5.6140420E-02  2.7162E+04  1.5000E+01  1.0786E-03
       15100  5.6407345E-02  2.7150E+04  1.5000E+01  1.0781E-03
       15150  5.6675099E-02  2.7138E+04  1.5000E+01  1.0776E-03
       15200  5.6943683E-02  2.7126E+04  1.5000E+01  1.0772E-03
       15250  5.7213098E-02  2.7113E+04  1.5000E+01  1.0767E-03
       15300  5.7483348E-02  2.7101E+04  1.5000E+01  1.0762E-03
       15350  5.7754433E-02  2.7089E+04  1.5000E+01  1.0757E-03
       15400  5.8026357E-02  2.7077E+04  1.5000E+01  1.0752E-03
       15450  5.8299120E-02  2.7064E+04  1.5000E+01  1.0747E-03
       15500  5.8572725E-02  2.7052E+04  1.5000E+01  1.0742E-03
       15550  5.8847175E-02  2.7040E+04  1.5000E+01  1.0738E-03
       15600  5.9122469E-02  2.7028E+04  1.5000E+01  1.0733E-03
       15650  5.9398612E-02  2.7016E+04  1.5000E+01  1.0728E-03
       15700  5.9675605E-02  2.7003E+04  1.5000E+01  1.0723E-03
       15750  5.9953449E-02  2.6991E+04  1.5000E+01  1.0718E-03
       15800  6.0232147E-02  2.6979E+04  1.5000E+01  1.0713E-03
       15850  6.0511701E-02  2.6967E+04  1.5000E+01  1.0709E-03
       15900  6.0792112E-02  2.6954E+04  1.5000E+01  1.0704E-03
       15950  6.1073383E-02  2.6942E+04  1.5000E+01  1.0699E-03
       16000  6.1355516E-02  2.6930E+04  1.5000E+01  1.0694E-03
       16050  6.1638513E-02  2.6918E+04  1.5000E+01  1.0689E-03
       16100  6.1922376E-02  2.6906E+04  1.5000E+01  1.0684E-03
       16150  6.2207106E-02  2.6894E+04  1.5000E+01  1.0679E-03
       16200  6.2492707E-02  2.6881E+04  1.5000E+01  1.0675E-03
       16250  6.2779179E-02  2.6869E+04  1.5000E+01  1.0670E-03
       16300  6.3066525E-02  2.6857E+04  1.5000E+01  1.0665E-03
       16350  6.3354747E-02  2.6845E+04  1.5000E+01  1.0660E-03
       16400  6.3643847E-02  2.6833E+04  1.5000E+01  1.0655E-03
       16450  6.3933827E-02  2.6820E+04  1.5000E+01  1.0650E-03
       16500  6.4224688E-02  2.6808E+04  1.5000E+01  1.0646E-03
       16550  6.4516434E-02  2.6796E+04  1.5000E+01  1.0641E-03
       16600  6.4809066E-02  2.6784E+04  1.5000E+01  1.0636E-03
       16650  6.5102586E-02  2.6772E+04  1.5000E+01  1.0631E-03
       16700  6.5396997E-02  2.6760E+04  1.5000E+01  1.0626E-03
       16750  6.5692299E-02  2.6748E+04  1.5000E+01  1.0622E-03
       16800  6.5988496E-02  2.6735E+04  1.5000E+01  1.0617E-03
       16850  6.6285589E-02  2.6723E+04  1.5000E+01  1.0612E-03
       16900  6.6583581E-02  2.6711E+04  1.5000E+01  1.0607E-03
       16950  6.6882473E-02  2.6699E+04  1.5000E+01  1.0602E-03
       17000  6.7182268E-02  2.6687E+04  1.5000E+01  1.0597E-03
       17050  6.7482967E-02  2.6675E+04  1.5000E+01  1.0593E-03
       17100  6.7784573E-02  2.6663E+04  1.5000E+01  1.0588E-03
       17150  6.8087088E-02  2.6651E+04  1.5000E+01  1.0583E-03
       17200  6.8390514E-02  2.6639E+04  1.5000E+01  1.0578E-03
       17250  6.8694852E-02  2.6627E+04  1.5000E+01  1.0573E-03
       17300  6.9000106E-02  2.6614E+04  1.5000E+01  1.0569E-03
       17350  6.9306277E-02  2.6602E+04  1.5000E+01  1.0564E-03
       17400  6.9613369E-02  2.6590E+04  1.5000E+01  1.0559E-03
       17450  6.9921383E-02  2.6578E+04  1.5000E+01  1.0554E-03
