   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  2140.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 3.1220613E-02 1.5350113E+06 3.3316E+03 1.657E-03 3.065E+03 1.132E-03 3.807E+03
 3.1407105E-02 1.5419560E+06 3.3431E+03 1.656E-03 3.073E+03 1.132E-03 3.822E+03
 3.1594225E-02 1.5489242E+06 3.3546E+03 1.654E-03 3.080E+03 1.131E-03 3.838E+03
 3.1781975E-02 1.5559158E+06 3.3662E+03 1.653E-03 3.088E+03 1.131E-03 3.854E+03
 3.1970357E-02 1.5629309E+06 3.3778E+03 1.652E-03 3.096E+03 1.130E-03 3.869E+03
 3.2159372E-02 1.5699697E+06 3.3894E+03 1.650E-03 3.104E+03 1.130E-03 3.885E+03
 3.2349023E-02 1.5770321E+06 3.4010E+03 1.649E-03 3.112E+03 1.130E-03 3.901E+03
 3.2539310E-02 1.5841182E+06 3.4127E+03 1.647E-03 3.120E+03 1.129E-03 3.917E+03
 3.2730236E-02 1.5912280E+06 3.4244E+03 1.646E-03 3.128E+03 1.129E-03 3.933E+03
 3.2921802E-02 1.5983617E+06 3.4362E+03 1.645E-03 3.136E+03 1.128E-03 3.949E+03
 3.3114010E-02 1.6055193E+06 3.4479E+03 1.643E-03 3.144E+03 1.128E-03 3.965E+03
 3.3306861E-02 1.6127009E+06 3.4597E+03 1.642E-03 3.152E+03 1.127E-03 3.981E+03
 3.3500358E-02 1.6199065E+06 3.4716E+03 1.641E-03 3.161E+03 1.127E-03 3.997E+03
 3.3694501E-02 1.6271362E+06 3.4834E+03 1.639E-03 3.169E+03 1.126E-03 4.013E+03
 3.3889293E-02 1.6343900E+06 3.4953E+03 1.638E-03 3.177E+03 1.126E-03 4.029E+03
 3.4084735E-02 1.6416681E+06 3.5072E+03 1.636E-03 3.185E+03 1.125E-03 4.046E+03
 3.4280829E-02 1.6489704E+06 3.5192E+03 1.635E-03 3.193E+03 1.125E-03 4.062E+03
 3.4477576E-02 1.6562971E+06 3.5311E+03 1.634E-03 3.202E+03 1.124E-03 4.078E+03
 3.4674979E-02 1.6636481E+06 3.5431E+03 1.632E-03 3.210E+03 1.124E-03 4.095E+03
 3.4873039E-02 1.6710237E+06 3.5552E+03 1.631E-03 3.218E+03 1.123E-03 4.111E+03
 3.5071757E-02 1.6784237E+06 3.5672E+03 1.630E-03 3.226E+03 1.123E-03 4.127E+03
 3.5271136E-02 1.6858484E+06 3.5793E+03 1.628E-03 3.235E+03 1.122E-03 4.144E+03
 3.5471177E-02 1.6932977E+06 3.5915E+03 1.627E-03 3.243E+03 1.122E-03 4.160E+03
 3.5671881E-02 1.7007717E+06 3.6036E+03 1.626E-03 3.252E+03 1.121E-03 4.177E+03
 3.5873251E-02 1.7082705E+06 3.6158E+03 1.624E-03 3.260E+03 1.121E-03 4.194E+03
 3.6075289E-02 1.7157942E+06 3.6280E+03 1.623E-03 3.268E+03 1.120E-03 4.210E+03
 3.6277995E-02 1.7233427E+06 3.6403E+03 1.622E-03 3.277E+03 1.120E-03 4.227E+03
 3.6481372E-02 1.7309163E+06 3.6525E+03 1.620E-03 3.285E+03 1.120E-03 4.244E+03
 3.6685421E-02 1.7385148E+06 3.6649E+03 1.619E-03 3.294E+03 1.119E-03 4.261E+03
 3.6890144E-02 1.7461385E+06 3.6772E+03 1.618E-03 3.302E+03 1.119E-03 4.277E+03
 3.7095543E-02 1.7537873E+06 3.6896E+03 1.617E-03 3.311E+03 1.118E-03 4.294E+03
 3.7301619E-02 1.7614614E+06 3.7020E+03 1.615E-03 3.319E+03 1.118E-03 4.311E+03
 3.7508375E-02 1.7691608E+06 3.7144E+03 1.614E-03 3.328E+03 1.117E-03 4.328E+03
 3.7715812E-02 1.7768855E+06 3.7269E+03 1.613E-03 3.337E+03 1.117E-03 4.345E+03
 3.7923931E-02 1.7846356E+06 3.7394E+03 1.611E-03 3.345E+03 1.116E-03 4.362E+03
 3.8132735E-02 1.7924113E+06 3.7519E+03 1.610E-03 3.354E+03 1.116E-03 4.379E+03
 3.8342225E-02 1.8002124E+06 3.7644E+03 1.609E-03 3.363E+03 1.115E-03 4.397E+03
 3.8552403E-02 1.8080392E+06 3.7770E+03 1.607E-03 3.371E+03 1.115E-03 4.414E+03
 3.8763271E-02 1.8158917E+06 3.7896E+03 1.606E-03 3.380E+03 1.114E-03 4.431E+03
 3.8974830E-02 1.8237700E+06 3.8023E+03 1.605E-03 3.389E+03 1.114E-03 4.448E+03
 3.9187082E-02 1.8316740E+06 3.8150E+03 1.604E-03 3.398E+03 1.113E-03 4.466E+03
 3.9400029E-02 1.8396039E+06 3.8277E+03 1.602E-03 3.407E+03 1.113E-03 4.483E+03
 3.9613672E-02 1.8475598E+06 3.8404E+03 1.601E-03 3.415E+03 1.112E-03 4.500E+03
 3.9828014E-02 1.8555416E+06 3.8532E+03 1.600E-03 3.424E+03 1.112E-03 4.518E+03
 4.0043057E-02 1.8635496E+06 3.8660E+03 1.598E-03 3.433E+03 1.111E-03 4.535E+03
 4.0258801E-02 1.8715837E+06 3.8788E+03 1.597E-03 3.442E+03 1.111E-03 4.553E+03
 4.0475249E-02 1.8796440E+06 3.8917E+03 1.596E-03 3.451E+03 1.110E-03 4.571E+03
 4.0692402E-02 1.8877305E+06 3.9046E+03 1.595E-03 3.460E+03 1.110E-03 4.588E+03
 4.0910263E-02 1.8958434E+06 3.9175E+03 1.593E-03 3.469E+03 1.109E-03 4.606E+03
 4.1128832E-02 1.9039827E+06 3.9305E+03 1.592E-03 3.478E+03 1.109E-03 4.624E+03
 4.1348112E-02 1.9121485E+06 3.9435E+03 1.591E-03 3.487E+03 1.108E-03 4.641E+03
 4.1568105E-02 1.9203408E+06 3.9565E+03 1.590E-03 3.496E+03 1.108E-03 4.659E+03
