  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.00000E+03  vis= 8.90000E-04  sp_ht= 4.18200E+03
     prc(je)=    6.900
  initial profiles: kstart=  1  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0000E+03    Prandtl number=    6.900
   U,mean = 8.9000E-03            d,h = 1.0000E-01
   viscom = 8.9000E-04            rhom  = 1.0000E+03

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 0.000E+00 5.179E+00  0.000E+00  0.000E+00

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
     8 1.387E-02 1.210E-02 2.774E-01 1.359E+00 -1.13E-13
     9 1.601E-02 1.210E-02 3.202E-01 1.359E+00 7.958E-13
    10 1.813E-02 1.209E-02 3.626E-01 1.359E+00 6.253E-13
    11 2.016E-02 1.209E-02 4.033E-01 1.358E+00 1.251E-12
    12 2.206E-02 1.208E-02 4.412E-01 1.357E+00 1.251E-12
    13 2.380E-02 1.206E-02 4.760E-01 1.355E+00 9.663E-13
    14 2.540E-02 1.202E-02 5.080E-01 1.351E+00 7.390E-13
    15 2.688E-02 1.197E-02 5.375E-01 1.345E+00 6.821E-13
    16 2.824E-02 1.190E-02 5.647E-01 1.337E+00 2.842E-13
    17 2.949E-02 1.180E-02 5.898E-01 1.325E+00 3.411E-13
    18 3.065E-02 1.167E-02 6.131E-01 1.311E+00 5.116E-13
    19 3.173E-02 1.152E-02 6.346E-01 1.294E+00 7.958E-13
    20 3.273E-02 1.134E-02 6.547E-01 1.274E+00 1.080E-12
    21 3.367E-02 1.114E-02 6.733E-01 1.252E+00 1.307E-12
    22 3.454E-02 1.092E-02 6.908E-01 1.227E+00 1.307E-12
    23 3.535E-02 1.067E-02 7.071E-01 1.199E+00 1.194E-12
    24 3.612E-02 1.041E-02 7.224E-01 1.170E+00 1.080E-12
    25 3.684E-02 1.014E-02 7.367E-01 1.139E+00 7.958E-13
    26 3.751E-02 9.852E-03 7.502E-01 1.107E+00 6.821E-13
    27 3.815E-02 9.558E-03 7.629E-01 1.074E+00 5.684E-13
    28 3.875E-02 9.259E-03 7.749E-01 1.040E+00 3.979E-13
    29 3.931E-02 8.956E-03 7.863E-01 1.006E+00 2.842E-13
    30 3.985E-02 8.651E-03 7.970E-01 9.720E-01 3.411E-13
    31 4.036E-02 8.346E-03 8.072E-01 9.377E-01 2.842E-13
    32 4.084E-02 8.042E-03 8.168E-01 9.036E-01 3.979E-13
    33 4.130E-02 7.741E-03 8.260E-01 8.698E-01 3.979E-13
    34 4.174E-02 7.444E-03 8.347E-01 8.364E-01 3.979E-13
    35 4.215E-02 7.151E-03 8.430E-01 8.035E-01 3.979E-13
    36 4.254E-02 6.863E-03 8.509E-01 7.711E-01 4.547E-13
    37 4.292E-02 6.580E-03 8.584E-01 7.393E-01 4.547E-13
    38 4.328E-02 6.303E-03 8.656E-01 7.082E-01 3.411E-13
    39 4.362E-02 6.032E-03 8.724E-01 6.778E-01 2.842E-13
    40 4.395E-02 5.768E-03 8.790E-01 6.481E-01 2.842E-13
    41 4.426E-02 5.510E-03 8.852E-01 6.191E-01 2.842E-13
    42 4.456E-02 5.258E-03 8.912E-01 5.908E-01 2.842E-13
    43 4.485E-02 5.012E-03 8.970E-01 5.632E-01 2.842E-13
    44 4.512E-02 4.772E-03 9.025E-01 5.362E-01 2.842E-13
    45 4.539E-02 4.539E-03 9.078E-01 5.100E-01 2.842E-13
    46 4.565E-02 4.311E-03 9.129E-01 4.844E-01 3.411E-13
    47 4.589E-02 4.089E-03 9.178E-01 4.594E-01 2.842E-13
    48 4.613E-02 3.871E-03 9.226E-01 4.350E-01 2.842E-13
    49 4.636E-02 3.659E-03 9.272E-01 4.111E-01 2.842E-13
    50 4.658E-02 3.451E-03 9.316E-01 3.878E-01 2.842E-13
    51 4.680E-02 3.247E-03 9.359E-01 3.649E-01 2.842E-13
    52 4.701E-02 3.047E-03 9.401E-01 3.424E-01 1.705E-13
    53 4.721E-02 2.850E-03 9.442E-01 3.202E-01 1.137E-13
    54 4.741E-02 2.655E-03 9.482E-01 2.983E-01 5.684E-14
    55 4.761E-02 2.461E-03 9.522E-01 2.765E-01 0.000E+00
    56 4.781E-02 2.268E-03 9.561E-01 2.548E-01 -1.13E-13
    57 4.800E-02 2.074E-03 9.600E-01 2.330E-01 -1.70E-13
    58 4.820E-02 1.878E-03 9.639E-01 2.110E-01 -2.27E-13
    59 4.840E-02 1.676E-03 9.679E-01 1.883E-01 -2.27E-13
    60 4.860E-02 1.466E-03 9.720E-01 1.648E-01 -1.70E-13
    61 4.882E-02 1.241E-03 9.764E-01 1.395E-01 -1.70E-13
    62 4.907E-02 9.887E-04 9.813E-01 1.111E-01 -5.68E-14
    63 4.960E-02 4.306E-04 9.920E-01 4.838E-02 0.000E+00
    64 5.000E-02 0.000E+00 1.000E+00 0.000E+00 0.000E+00

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
  333 3.500E+01 2.479E-02 0.000E+00 8.249E-03  0.000E+00  0.000E+00

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
     1 0.000E+00 1.710E-02 0.000E+00 1.921E+00 5.116E-13
     2 1.386E-03 1.710E-02 2.771E-02 1.921E+00 5.116E-13
     3 2.847E-03 1.707E-02 5.694E-02 1.918E+00 3.979E-13
     4 4.514E-03 1.700E-02 9.028E-02 1.911E+00 2.842E-13
     5 6.304E-03 1.690E-02 1.261E-01 1.899E+00 3.979E-13
     6 8.115E-03 1.676E-02 1.623E-01 1.883E+00 1.705E-13
     7 9.946E-03 1.657E-02 1.989E-01 1.862E+00 1.137E-13
     8 1.180E-02 1.634E-02 2.359E-01 1.836E+00 1.137E-13
     9 1.367E-02 1.607E-02 2.734E-01 1.805E+00 3.979E-13
    10 1.556E-02 1.574E-02 3.111E-01 1.769E+00 4.547E-13
    11 1.740E-02 1.537E-02 3.479E-01 1.727E+00 4.547E-13
    12 1.914E-02 1.498E-02 3.828E-01 1.683E+00 5.684E-13
    13 2.077E-02 1.457E-02 4.154E-01 1.638E+00 6.821E-13
    14 2.231E-02 1.415E-02 4.461E-01 1.590E+00 7.958E-13
    15 2.375E-02 1.373E-02 4.749E-01 1.542E+00 7.390E-13
    16 2.510E-02 1.329E-02 5.020E-01 1.494E+00 7.390E-13
    17 2.638E-02 1.286E-02 5.275E-01 1.445E+00 8.527E-13
    18 2.758E-02 1.243E-02 5.516E-01 1.396E+00 7.958E-13
    19 2.871E-02 1.200E-02 5.743E-01 1.348E+00 9.095E-13
    20 2.978E-02 1.157E-02 5.957E-01 1.300E+00 9.095E-13
    21 3.080E-02 1.115E-02 6.159E-01 1.253E+00 9.095E-13
    22 3.175E-02 1.074E-02 6.351E-01 1.206E+00 9.095E-13
    23 3.266E-02 1.033E-02 6.532E-01 1.161E+00 8.527E-13
    24 3.352E-02 9.936E-03 6.704E-01 1.116E+00 9.095E-13
    25 3.433E-02 9.549E-03 6.866E-01 1.073E+00 9.095E-13
    26 3.510E-02 9.172E-03 7.021E-01 1.031E+00 9.663E-13
    27 3.584E-02 8.805E-03 7.167E-01 9.894E-01 9.095E-13
    28 3.653E-02 8.449E-03 7.306E-01 9.493E-01 9.095E-13
    29 3.719E-02 8.102E-03 7.439E-01 9.104E-01 9.095E-13
    30 3.782E-02 7.767E-03 7.564E-01 8.726E-01 9.663E-13
    31 3.842E-02 7.441E-03 7.684E-01 8.361E-01 1.023E-12
    32 3.899E-02 7.125E-03 7.798E-01 8.006E-01 1.023E-12
    33 3.953E-02 6.820E-03 7.906E-01 7.663E-01 1.080E-12
    34 4.005E-02 6.525E-03 8.010E-01 7.331E-01 1.137E-12
    35 4.054E-02 6.239E-03 8.108E-01 7.010E-01 1.251E-12
    36 4.101E-02 5.962E-03 8.202E-01 6.699E-01 1.364E-12
    37 4.146E-02 5.695E-03 8.292E-01 6.399E-01 1.364E-12
    38 4.189E-02 5.436E-03 8.378E-01 6.108E-01 1.364E-12
    39 4.230E-02 5.186E-03 8.460E-01 5.827E-01 1.364E-12
    40 4.269E-02 4.944E-03 8.539E-01 5.556E-01 1.364E-12
    41 4.307E-02 4.710E-03 8.614E-01 5.293E-01 1.251E-12
    42 4.343E-02 4.484E-03 8.686E-01 5.038E-01 1.194E-12
    43 4.378E-02 4.265E-03 8.755E-01 4.792E-01 1.137E-12
    44 4.411E-02 4.053E-03 8.822E-01 4.554E-01 1.137E-12
    45 4.443E-02 3.847E-03 8.886E-01 4.322E-01 1.023E-12
    46 4.474E-02 3.647E-03 8.947E-01 4.098E-01 8.527E-13
    47 4.503E-02 3.453E-03 9.007E-01 3.880E-01 6.821E-13
    48 4.532E-02 3.265E-03 9.064E-01 3.668E-01 5.116E-13
    49 4.560E-02 3.081E-03 9.119E-01 3.462E-01 3.979E-13
    50 4.586E-02 2.902E-03 9.173E-01 3.261E-01 2.842E-13
    51 4.612E-02 2.727E-03 9.225E-01 3.064E-01 2.842E-13
    52 4.638E-02 2.556E-03 9.276E-01 2.872E-01 2.274E-13
    53 4.663E-02 2.388E-03 9.325E-01 2.683E-01 2.274E-13
    54 4.687E-02 2.222E-03 9.374E-01 2.496E-01 2.274E-13
    55 4.711E-02 2.058E-03 9.422E-01 2.312E-01 2.274E-13
    56 4.734E-02 1.894E-03 9.469E-01 2.128E-01 1.705E-13
    57 4.758E-02 1.731E-03 9.516E-01 1.944E-01 1.705E-13
    58 4.782E-02 1.565E-03 9.563E-01 1.759E-01 1.137E-13
    59 4.806E-02 1.396E-03 9.612E-01 1.569E-01 0.000E+00
    60 4.831E-02 1.220E-03 9.662E-01 1.371E-01 5.684E-14
    61 4.857E-02 1.032E-03 9.715E-01 1.160E-01 5.684E-14
    62 4.887E-02 8.213E-04 9.774E-01 9.228E-02 0.000E+00
    63 4.952E-02 3.560E-04 9.903E-01 4.000E-02 0.000E+00
    64 5.000E-02 0.000E+00 1.000E+00 0.000E+00 0.000E+00

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
  463 1.000E+02 1.923E-02 0.000E+00 8.003E-03  0.000E+00  0.000E+00

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
     1 0.000E+00 1.776E-02 0.000E+00 1.996E+00 2.274E-13
     2 1.360E-03 1.776E-02 2.719E-02 1.996E+00 2.274E-13
     3 2.793E-03 1.772E-02 5.587E-02 1.991E+00 2.274E-13
     4 4.431E-03 1.764E-02 8.861E-02 1.982E+00 2.842E-13
     5 6.189E-03 1.751E-02 1.238E-01 1.968E+00 1.705E-13
     6 7.971E-03 1.734E-02 1.594E-01 1.948E+00 1.137E-13
     7 9.773E-03 1.711E-02 1.955E-01 1.922E+00 1.137E-13
     8 1.160E-02 1.683E-02 2.320E-01 1.891E+00 -5.68E-14
     9 1.345E-02 1.651E-02 2.690E-01 1.855E+00 5.684E-14
    10 1.532E-02 1.613E-02 3.064E-01 1.812E+00 2.842E-13
    11 1.714E-02 1.570E-02 3.429E-01 1.765E+00 3.979E-13
    12 1.888E-02 1.526E-02 3.775E-01 1.715E+00 4.547E-13
    13 2.050E-02 1.481E-02 4.101E-01 1.663E+00 5.116E-13
    14 2.204E-02 1.434E-02 4.407E-01 1.611E+00 5.684E-13
    15 2.348E-02 1.388E-02 4.695E-01 1.559E+00 5.684E-13
    16 2.483E-02 1.341E-02 4.966E-01 1.507E+00 7.390E-13
    17 2.611E-02 1.295E-02 5.222E-01 1.455E+00 8.527E-13
    18 2.732E-02 1.249E-02 5.464E-01 1.403E+00 1.023E-12
    19 2.846E-02 1.204E-02 5.692E-01 1.352E+00 1.023E-12
    20 2.954E-02 1.159E-02 5.907E-01 1.302E+00 1.080E-12
    21 3.056E-02 1.115E-02 6.111E-01 1.253E+00 1.137E-12
    22 3.152E-02 1.073E-02 6.304E-01 1.205E+00 1.194E-12
    23 3.243E-02 1.031E-02 6.487E-01 1.159E+00 1.251E-12
    24 3.330E-02 9.906E-03 6.660E-01 1.113E+00 1.307E-12
    25 3.412E-02 9.512E-03 6.825E-01 1.069E+00 1.307E-12
    26 3.490E-02 9.129E-03 6.980E-01 1.026E+00 1.364E-12
